batch	original_path	sha256	bytes	storage	canonical_path
T02	research/artifacts/candidates/opg500-r08-tight-obstruction/verify_certificate.py	cb61d67ab6a02b57c4449d15767d2ddc2daa81189ca7b6d3f4074596dd9c1957	8742	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/MinimalOutside.lean	da0d6961409868b672eb68869fa8f37bd245f1df5c741a72fb51a0c27f3374c9	1558	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/README.md	e8eebdc44e64b01d71081149f672babfed554321459f7d66d09dbfaa9cc5bcdd	2714	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/Resolution.lean	547f0f3b66ad042b4c9379df93e61c45933decb7056b34c853881e7524a951c4	18035	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/ambient-graph-audit.json	97473f7d9159316e0ed0035ef3e25db1b3e9abb5a00755a0012372db69f77658	2338	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/artifact-digests.json	b85b816b65d23d030a0fbe19e993638e50a664a3742c96e415a191c4eb63e304	6241	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/check.py	2419fb5c30bd3ded07ff516bab70103a5b22c83d25b22bd9e30b0ad30b5539fc	10843	existing_repository_file	research/artifacts/candidates/opg500-a01-c09/check.py
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/check_resolution_terms.py	75d64eea85b02744137d1b3f000f144cf2608322d44113c32d7d0d6d9a034d75	8910	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/check_witness.py	86ab7f7120c8ee272225dd3ffd2811a982fa716fce1c2b6c502de375efdae602	5730	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/checkpoint.json	962bde2d9a5bfe030284eeff4041f6e5466460410b65dd5e7677a61d5ceca3da	4400	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/execution.json	d61637b08e5fe960bafe8603e1ac3fc485cfe4f0e24bc05b8a8a7484b85b5cb7	10415	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/extraction-tests.json	f38a173487e7b9bcf380144f19ced1a66d2d1a8f1ff01ccd0770f22d8873d1cc	129800	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/finite-realization-check.json	c8a2d1f22856c662c0a152c4db6b9876050d88fb9c8efeea2a47738b4040c2cd	647	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/finite-realization.md	19f8bae69e8831b0ce4309993d2ec1718587a249b3209c1dac604f9455a3b984	3249	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/finite_realization_check.py	c29e54cd233927f893e590983f16cc19143658e7160dc0dc2ebcd60765b8927a	3465	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/formalization-map.md	d547264e3ea7051eae37f1248be9c2cb0911c0b059c57ddfa73cbb96bfd61c19	6880	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/graph-audit.json	1a1af9658cfcbc30f6312d83e1b8641dc82d95055a62d271c977a4038461ae35	16392	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/issue-checkpoint.md	c0fb753992a091de125f8f49d98e48dd1e5f12cad6c9e348020b037ab4627a5e	2100	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/mutation.json	7dd0ed737acfc342578c2e1b90814a60967bc461d07f40b3e90ef677f467072a	549	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/packet-draft.json	953bf15e40aa5430d8ef7c809cb2f6323b010a86799aa656f9e42774eeb448a1	13449	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/packet-local-validation.json	f462c5398a5241db71b88c7166f593e381586b30f8686a6fd5deb45e8ddf986c	494	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/resolution-check.json	7994e73b9ffd3616b7164780d5c3ef0af13560de30c11bc2396776952636e472	676	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/resolution-proof.json	b9a91e813c62a4a1f503b8d09f3a8b22a9226a3627c04a7e67dd4a3517cda3b7	3618	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/resolution-term-check.json	f7f5d17aeeead8d11c2965e4f1246ba33f82d7d14fd15d91b6cfbc6d64d25640	848	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/resolution_replay.py	2661468b025b9a8d0d4c5149cd8cf0ad1f6d3df233a33d999c489fbe67376d92	7311	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/unsat-tree.json	b7f6bb1aaa032313232be769f83f0a8e3862b852095e868f25ff82506b2d73be	1761	existing_repository_file	research/artifacts/candidates/opg500-a01-c09/unsat-tree.json
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/witness-check-optimized.json	d0992e395a9ade94a0fe7c1283e03f97d1f8fdbd3fc66faaa0c6e061fd62c262	818	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/witness-check.json	dcd7b21cd8606bfb0e73a78b7e4bdd1170e1d0af41453853e336ca2b9e0227bc	819	lossless_archive_member	-
T03	research/artifacts/candidates/opg500-a01-resume-resolution-v1/witness_extractor.py	b414311da20588cc3270438bfb1578eab344ac3d10738d4f6cb7343b1f3f566e	8298	lossless_archive_member	-
T03	research/artifacts/source-notes/opg500-resume-resolution-v1-source.md	267afcdb9a892cfc2808a4cd161331b09053814c8f8b33ae857d971b0add7554	2547	lossless_archive_member	-
